country,gini_index
Albania,29
Algeria,27.6
Angola,42.7
Argentina,42.4
Armenia,32.4
Australia,34.7
Austria,30.5
Azerbaijan,31.8
Bangladesh,32
Belarus,26.7
Belgium,28.1
Belize,53.3
Benin,47.8
Bhutan,38.7
Bolivia,45.8
Bosnia and Herzegovina,33.1
Botswana,60.5
Brazil,53.3
Bulgaria,37.4
Burkina Faso,35.3
Burundi,39.2
Cambodia,30.8
Cameroon,46.5
Canada,34
Cabo Verde,47.2
Central African Republic,56.2
Chad,43.3
Chile,47.7
China,38.6
Colombia,50.8
Comoros,45
DR Congo,42.1
Congo,40.2
Costa Rica,48.7
C̫te d'Ivoire,41.7
Croatia,32.2
Cyprus,35.6
Czech Republic,25.9
Denmark,28.5
Djibouti,44.1
Dominican Republic,45.3
Ecuador,45
Egypt,31.8
El Salvador,40
Estonia,34.6
Ethiopia,33.2
Fiji,36.4
Finland,26.8
France,32.3
Gabon,38
The Gambia,47.3
Georgia,36.5
Germany,31.4
Ghana,42.8
Greece,35.8
Guatemala,48.7
Guinea,33.7
Guinea-Bissau,50.7
Guyana,44.5
Haiti,60.8
Honduras,50
Hungary,30.9
Iceland,25.6
India,35.7
Indonesia,38.1
Iran,38.8
Iraq,29.5
Ireland,31.9
Israel,41.4
Italy,34.7
Jamaica,45.5
Japan,32.1
Jordan,35.4
Kazakhstan,26.5
Kenya,47.7
South Korea,31.6
Kosovo,26.5
Kyrgyzstan,26.8
Laos,37.9
Latvia,35.1
Lesotho,54.2
Liberia,33.2
Lithuania,37.7
Luxembourg,31.2
North Macedonia,35.6
Madagascar,40.6
Malawi,46.1
Malaysia,41
Maldives,36.8
Mali,33
Mauritania,32.4
Mauritius,35.8
Mexico,43.4
Micronesia,40.1
Moldova,26.3
Mongolia,32.3
Montenegro,31.9
Morocco,40.7
Mozambique,45.6
Myanmar,38.1
Namibia,59.1
Nepal,32.8
Netherlands,28.6
Nicaragua,46.6
Niger,34
Nigeria,43
Norway,26.8
Pakistan,30.7
Panama,50.4
Papua New Guinea,43.9
Paraguay,47.9
Peru,43.8
Philippines,40.1
Poland,32.1
Portugal,35.6
Qatar,41.1
Romania,27.5
Russia,37.7
Rwanda,50.4
Sao Tome and Principe,30.8
Saudi Arabia,45.9
Senegal,40.3
Serbia,29.1
Seychelles,46.8
Sierra Leone,34
Slovakia,26.1
Slovenia,25.7
South Africa,63
South Sudan,45.5
Spain,36
Sri Lanka,39.8
St. Lucia,42.6
Sudan,35.4
Suriname,57.6
Eswatini,51.5
Sweden,27.2
Switzerland,32.5
Syria,35.8
Tajikistan,34
Tanzania,37.8
Thailand,36.5
Timor-Leste,31.6
Togo,43
Trinidad and Tobago,40.3
Tunisia,35.8
Turkey,41.9
Turkmenistan,43.2
Uganda,42.8
Ukraine,25.5
United Kingdom,34.1
United States,41.5
Uruguay,39.7
Uzbekistan,36.7
Venezuela,46.9
Vietnam,35.3
Palestine,35.5
Yemen,36.7
Zambia,57.1
Zimbabwe,43.2
Malta,29.4
