country,index
Norway,90.26
Iceland,90.24
Switzerland,89.97
Denmark,89.96
Finland,89.77
Japan,89.74
Netherlands,89.34
Luxembourg,89.27
Germany,89.21
New Zealand,89.12
Sweden,88.99
Ireland,88.82
United Kingdom,88.74
Canada,88.62
Australia,88.32
France,87.88
Belgium,87.39
South Korea,87.13
Spain,87.11
Austria,86.76
Italy,86.04
Slovenia,85.5
Singapore,85.42
Portugal,85.36
United States,84.78
Czech Republic,84.66
Estonia,83.49
Cyprus,82.85
Greece,82.59
Israel,82.47
Lithuania,81.86
Poland,81.21
Costa Rica,80.99
Chile,80.61
Slovakia,80.34
Hungary,80.11
Croatia,79.6
Uruguay,79.4
Latvia,79.25
China,64.57
Romania,74.51
Turkey,66.81